"sent_no","sent_raw","syuzhet","bing","afinn","nrc"
5931,"I did not know which was worse or whether there was some sense in which both could be true.",-0.25,-1,-1,1
5932,"They seemed mutually exclusive to me.",0,0,2,0
5933,"But I was certain that Gorringe did not know either and that he would have nothing to tell Miranda.",0.8,0,1,0
5934,"As the sun through the plate glass at our backs sank a little lower, the room was filling with light.",0.6,0,1,0
5935,"The three of us sitting in a row on the sofa would have appeared as silhouettes to Gorringe.",0,0,0,-1
5936,"To us he was illuminated like a figure on a stage and it seemed appropriate when he, not Miranda, started to speak.",1.5,2,4,0
5937,"He pressed his right hand against his chest with his left as though taking a vow of honesty.",1.9,2,0,2
5938,"He had dropped the thuggish tone.",0,0,-1,0
5939,"Pain at this level was a tranquilliser, an enforcer, stripping the affectation out, coaxing his voice back to that of the undergraduate he might have become without Miranda's intervention.",-1.35,0,-2,0
5940,"""The guy who came to see you, Brian, was the one I shared a cell with.",0.8,0,1,0
5941,"He was in for armed robbery.",-1,0,0,-1
5942,"The prison was short-staffed so we were often locked up together for twenty-three hours a day.",-0.75,-1,-2,-1
5943,"This was right at the beginning of my term.",0.8,1,0,0
5944,"The worst time, everyone says, the first few months, when you do not accept where you are and you can not stop thinking about what you could have been doing and how you are going to get out, and getting your appeal together and getting angry with the solicitor because nothing seems to be happening.",-0.05,-1,-6,-1
5945,"""I was getting into all sorts of trouble.",-0.5,-1,-2,0
5946,"I mean fights.",0,0,0,0
5947,"I hey told me I had anger problems and they were right.",-0.45,-1,-5,-1
5948,"I thought because I was six two and played rugby in the second row I could look after myself.",0,0,0,-1
5949,"That was crap.",-0.75,-1,-3,-1
5950,"I knew nothing about real fighting.",-0.55,0,-2,0
5951,"I got my throat slashed and could have died.",-1,-1,-5,0
5952,"""I came to hate my cellmate, as you do when you are shitting in the same bucket every day.",-1.55,-1,-3,-1
5953,"I hated his whistling, his stinking teeth, his press-ups and jumping jacks.",-1,-1,-5,-1
5954,"He was a vicious little runt.",-0.75,-1,-2,-1
5955,"But somehow, in his case, I kept control of myself and he delivered my message once he was out.",0,0,0,-1
5956,"But I hated you ten times more.",-0.5,-1,-3,0
5957,"I used to lie on my bunk and burn with hatred.",-1.65,-4,-3,-2
5958,"Hours on end.",0,0,0,0
5959,"And here's the thing and you might not believe it.",0,0,0,0
5960,"I never connected you with the Indian girl.""",0,0,0,0
5961,"""Her family was from Pakistan,"" Miranda said softly.",0,0,0,0
5962,"""I did not know about your friendship.",0.5,0,2,1
5963,"I just thought you were one of those spiteful man-hating bitches or you woke up the next morning and felt ashamed of yourself and decided to take it out on me.",-2.25,-3,-12,-3
5964,"So I lay on my bunk and planned my revenge.",-1.25,-2,-2,-1
5965,"I was going to save up the money and get someone to do the business for me.",1.1,0,2,2
5966,"""Time passed.",0,0,0,0
5967,"Brian got out.",0,0,0,0
5968,"I was moved a couple of times and things began to settle into a kind of routine when the days are all the same and time begins to go faster.",1.1,1,2,2
5969,"I went into a kind of depression.",0,-1,2,0
5970,"They gave me anger-management counselling.",0,-1,-3,0
5971,"Round about that time, I began to be haunted or obsessed, not by you but by that girl.""",-1.15,0,0,-1
5972,"""Her name was Mariam.""",0,0,0,0
5973,"""I know that.",0,0,0,0
5974,"I would managed to put her right out of my mind.""",0.8,1,0,0
5975,"""I can believe you.""",0,0,0,0
5976,"""Now she was there all the time.",0,0,0,0
5977,"And the terrible thing I did.",-0.75,-1,-3,-1
5978,"And at night--""",0,0,0,0
5979,"Adam said, ""let us have it.",0,0,0,0
5980,"What terrible thing?""",-0.75,-1,-3,-1
5981,"He spelled it out, as though for dictation.",0,0,0,0
5982,"""I attacked her.",-1,0,-1,0
5983,"I raped her.""",-1,-1,-4,0
5984,"""And who was she?""",0,0,0,0
5985,"""Mariam Malik.""",0,0,0,0
5986,"""Date?""",0,0,0,0
5987,"""The sixteenth of July 1978.""",0,0,0,0
5988,"""Time?""",0,0,0,0
5989,"""Around nine thirty in the evening.""",0,0,0,0
5990,"""And who are you?""",0,0,0,0
5991,"Possibly Gorringe feared what Adam might yet do to him.",0,0,0,0
5992,"But he seemed eager rather than intimidated.",0.25,1,0,1
5993,"He must have guessed there was a recording.",0,0,0,0
5994,"He needed to tell us everything.",0,0,0,0
5995,"""What do you mean?""",0,0,0,0
5996,"""Tell us your name, address and date of birth.""",0.6,0,0,1
5997,"""Peter Gorringe, 6 St. Osmund's Close, Salisbury.",0,0,0,0
5998,"Eleventh of May 1960.""",0,0,0,0
5999,"""Thank you.""",0.5,1,2,0
6000,"Then he resumed.",0,0,0,0
6001,"His eyes were half closed against the light.",0,0,0,0
6002,"""Two very important things happened to me.",0.75,1,2,1
6003,"The first was wore significant.",0.5,1,1,0
6004,"It started out as a bit of a scam.",-0.5,-1,-2,0
6005,"But I do not think it was chance.",0.25,0,2,0
6006,"It was guided from the start.",0,0,0,0
6007,"The rules were you could get more time out of your cell if you came on as all religious.",0,0,0,0
6008,"A lot of us were on to it and the screws understood but they did not care.",1,0,2,0
6009,"I put myself down as Church of England and started going every day to evensong.",0.1,0,0,1
6010,"I still go every day, to the cathedral.",0,0,0,1
6011,"At first it was boring but better than the cell.",-0.2,0,-1,-1
6012,"Then a little less boring.",-1,-1,-3,-1
6013,"Then I started to get drawn in.",0,0,0,0
6014,"It was the vicar mostly, at least at the beginning, the Reverend Wilfred Murray, a big fellow with a Liverpool accent.",1.25,0,1,3
6015,"He was not scared of anyone, and that was something in a place like that.",0,0,0,0
6016,"He started taking an interest in me when he saw I was serious.",0.5,0,1,1
6017,"He sometimes dropped by my cell.",0,0,-1,0
6018,"He gave me passages to read from the Bible, mostly from the New Testament.",0.8,0,0,0
6019,"After evensong on Thursdays he would go through them with me and a few others.",0,0,0,0
6020,"I never thought I would find myself volunteering for a Bible-study group.",0,0,0,1
6021,"And it was not for the benefit of the parole board, the way it was for some.",0.75,1,2,1
6022,"But the more I became aware of God's presence in my life, the worse I felt about Mariam.",-0.35,-1,-3,0
6023,"I understood from Reverend Murray that I had a mountain to climb in coming to terms with what I would done, that forgiveness was a long way off but that I could work towards it.",0.85,1,0,1
6024,"He made me see what a monster I would been.""",-0.5,-1,0,-1
6025,"He paused.",0,0,0,0
6026,"""At night, as soon as I closed my eyes, her face would be there.""",0,0,0,0
6027,"""Your sleep was disrupted.""",0,0,-2,0
6028,"He was immune to sarcasm, or pretended to be.",-0.35,-1,1,-2
6029,"""For months, I did not have a single night without nightmares.""",-1,0,0,0
6030,"Adam said, ""What was the second thing?""",0,0,0,0
6031,"""It was a revelation.",0.8,1,0,0
6032,"A friend from school came to see me.",0.8,0,1,1
6033,"We had half an hour in the visitors' room.",0,0,0,0
6034,"He told me about the suicide and that was a shock.",-1.5,-2,-4,-2
6035,"Then I learned that you were her friend, that you two were very close.",0.8,0,1,1
6036,"So, revenge.",-1,-1,-2,-1
6037,"I almost admired you for it.",0.5,0,3,0
6038,"You were brilliant in court.",1,1,4,1
6039,"No one dared not believe you.",0,0,-1,0
6040,"But that was not the point.",0,0,0,0
6041,"A few days later, when I would talked this through with the vicar, that is when I began to see it for what it was.",0,0,0,1
6042,"It was simple.",0,0,0,0
6043,"And not only that.",0,0,0,0
6044,"It was right.",0.8,1,0,0
6045,"You were the agent of retribution.",0,0,0,-1
6046,"Perhaps the right word is angel.",1.3,2,0,2
6047,"Avenging angel.""",0.75,1,-2,1
6048,"He shifted position and winced.",-1,0,0,0
6049,"His left hand cradled his broken wrist against his chest.",0.05,-1,-1,-1
6050,"He was looking at Miranda steadily.",0,0,0,0
6051,"I felt her upper arm tighten against my own.",0,0,0,0
6052,"He said, ""You were sent.""",0,0,0,0
6053,"She slumped, for the moment unable to speak.",-0.5,-1,-2,-1
6054,"""Sent?""",0,0,0,0
6055,"I said.",0,0,0,0
6056,"""No need to rage against a miscarriage of justice.",-0.5,-1,-1,-1
6057,"I was already working through my punishment.",-0.25,0,0,0
6058,"God's justice, realised through you.",1,0,2,1
6059,"The scales were balanced--the crime I committed against the crime I was innocent of and sent down for.",0.55,0,-1,2
6060,"I dropped my appeal.",0.6,1,-1,0
6061,"The anger was gone.",-0.75,-1,-3,-1
6062,"Well, mostly.",0.8,1,0,0
6063,"I should have written to you.",0,0,0,0
6064,"I meant to.",0,0,0,0
6065,"I even went round to your dad's place and got your address.",0,0,0,0
6066,"But I let it drop.",0,0,-1,0
6067,"Who cared if I once wanted you dead?",-1,-1,-3,0
6068,"It was all over.",0,0,0,0
6069,"I was getting my life together.",0,0,0,0
6070,"I went to Germany to stay with my parents--my dad's working there.",0.25,0,0,1
6071,"Then back here to start a new life.""",0.8,0,0,0
6072,"""Meaning?""",0,0,0,0
6073,"Adam said.",0,0,0,0
6074,"""Job interviews.",0,0,0,1
6075,"In sales.",0,0,0,0
6076,"And living in God's grace.""",0,1,1,1
6077,"I was beginning to understand why Gorringe was prepared to name his crime and identify himself out loud, fatalism.",-0.5,-2,-2,0
6078,"He wanted forgiveness.",0,0,0,0
6079,"He had served his time.",0,0,0,0
6080,"What happened now was God's will.",0,0,0,0
6081,"She said, ""I still do not understand.""",0,0,0,0
6082,"""What?""",0,0,0,0
6083,"""Why you raped her.""",-1,-1,-4,0
6084,"He stared at her, faintly amused that she could be so unworldly.",0.5,0,3,1
6085,"""All right.",0.8,1,0,0
6086,"She was beautiful and I desired her and everything else got blotted out.",1.55,1,5,1
6087,"that is the way it happens.""",0,0,0,0
6088,"""I know about desire.",0.6,0,1,0
6089,"But if you really thought she was beautiful.",0.75,1,3,1
6090,"""Yes?""",0.8,0,1,0
6091,"""Why rape her?""",-1,-1,-4,-1
6092,"They were looking at each other across a desert of hostile incomprehension.",-2.05,-3,-2,-2
6093,"We were back at the beginning.",0,0,0,0
6094,"""I will tell you something I have never said to anyone.",0,0,0,0
6095,"When we were on the ground I was trying to calm her.",0.75,1,2,1
6096,"I really was.",0,0,0,0
6097,"If she would just seen that moment in a different way, if she would looked at me instead of twisting away, it could have been something--"" ""What?""",0,0,0,0
6098,"""If she could have just relaxed a moment, I think we would have crossed into .",0.5,1,2,0
6099,"you know.""",0,0,0,0
6100,"Miranda was pushing herself up from out of the soft clammy sofa.",0.6,1,0,0
6101,"Her voice trembled.",0,0,0,0
6102,"""do not you dare even think it.",0,0,0,0
6103,"do not you dare!""",0,0,0,0
6104,"Then, in a whisper, ""Oh God.",0,0,1,1
6105,"I am going to ...""",0,0,0,0
6106,"She hurried from the room.",-0.25,0,0,-1
6107,"We heard her yank the front door open and then her retching and the liquid sound of copious vomit.",-1,-1,-3,0
6108,"I went after her and Adam followed me.",0,0,0,0
6109,"There was no question, this was a visceral response.",0,0,-1,1
6110,"But I was sure she had the door open before she started to be sick.",-0.75,-1,-2,-1
6111,"She could easily have turned her head to the left or right and thrown up on the lawn or the flower bed.",0.8,1,0,0
6112,"Instead, the contents of her stomach, the colourful buffet lunch, lay thickly over the hall carpet and the threshold.",0,0,0,-1
6113,"She had stood outside the house and vomited in.",-0.5,-1,-3,0
6114,"She said later that she was helpless, out of control, but I always thought, or preferred to think, that here, at our feet as we left, was the avenging angel's parting shot.",-0.1,-1,-4,-2
6115,"It was tricky, stepping over it.",0,-1,0,0
6116,"CHAPTER 9",0,0,0,0
6117,"The journey home from Salisbury, again in heavy traffic and rain, was mostly in silence.",0.4,0,0,1
6118,"Adam said he wanted to make a start on the Gorringe material.",0,0,0,0
6119,"Miranda and I were, as we told each other, emotionally drained.",-0.5,-1,-2,0
6120,"The sherry and wine were bearing down on me.",0,0,0,0
6121,"The windscreen wiper on my side was mostly lifeless.",-0.75,-1,-1,-1
6122,"Intermittently it smeared the glass.",0,0,0,0
6123,"On the slow crawl through outer London, towards what I was beginning to think of as my former life, my mood began to slip.",-0.5,-1,-1,-2
6124,"My life transformed in a single afternoon.",0,0,0,0
6125,"I was trying to take the measure of what I would agreed to--so easily, so impetuously.",-0.3,-1,1,1
6126,"I wondered if I really wanted to become a father to a troubled four-year-old.",-0.75,-1,-2,0
6127,"Miranda had been pursuing the matter for weeks--privately.",0,0,1,0
6128,"I would had a few minutes and made my delirious decision out of love for her--nothing else.",0.25,0,3,0
6129,"The responsibilities I would assumed were heavy.",0,0,0,0
6130,"Once we were home, my thoughts remained dark.",-0.6,-1,0,0
6131,"I slumped in the kitchen armchair with a mug of tea.",0,0,0,0
6132,"I did not yet dare confide my feelings to Miranda.",-0.25,0,0,0
6133,"I had to admit it, at that moment I resented her, especially her old habit of secrecy.",-0.4,0,-1,0
6134,"I had been bounced or bullied or lovingly blackmailed into parenthood.",-0.5,0,-5,0
6135,"I would have to tell her, but not now.",0,0,0,0
6136,"An argument was bound to follow, and I did not have the strength.",-0.55,0,2,-1
6137,"I brooded on a fork in the path of our lives, the directions we might take: a bad but passing moment, common to all lovers, which we would talk ourselves through, find and seal a solution with a round of grateful lovemaking.",1.9,0,1,4
6138,"Or: withdrawing, we would each go too far and, like inept trapezists, slip out of each other's grasp and fall and, as we nursed our injuries, slowly become strangers.",-0.5,-2,-3,-3
6139,"I surveyed these possibilities dispassionately.",0,0,0,0
6140,"Even a third path did not trouble me much: I would lose her, regret it bitterly and never get her back, however hard I tried.",-2.75,-5,-7,-3
6141,"I was disposed to let events slide past me in frictionless silence.",-0.6,0,0,1
6142,"The day had been long and intense.",-0.25,-1,1,0
6143,"I would been taken for a robot, had my proposal of marriage accepted, volunteered for instant fatherhood, learned of self-destruction among one-quarter of Adam's conspecifics, and witnessed the physical effects of moral revulsion.",1.6,-2,-2,0
6144,"None of it impressed me now.",0.5,1,3,0
6145,"What did were smaller things--the heaviness in my eyelids, my comfort in a half-pint of tea, in preference to a large Scotch.",0.75,1,2,0
6146,"Becoming a parent.",0,0,0,0
6147,"It was not that I could claim to be too busy, pressured or ambitious.",0,1,0,0
6148,"Mine was the opposite problemI had nothing of my own to defend against a child.",0.85,0,0,2
6149,"His existence would obliterate mine.",-0.75,-1,-2,0
6150,"he would had a vile beginning, he would need a lot of care, he was bound to be difficult.",-0.5,-2,-2,-1
6151,"I had not yet started my life, which was marginal, in fact childish.",-1.15,-2,-2,-1
6152,"My existence was an empty space.",-0.25,0,-1,1
6153,"To fill it with parenting would be an evasion.",-0.5,-1,0,-1
6154,"I had older women friends who had got pregnant when nothing else was working out.",0.25,0,0,1
6155,"They never regretted it, but once the children were growing up, nothing else happened beyond, say, a poorly paid part-time job, or setting up a book group, or learning holiday Italian.",0.65,-2,-3,1
6156,"Whereas the women who were already doctors or teachers or running a business were deflected for a while, then went back and pressed on.",0,0,0,0
6157,"The men were not even deflected.",0,0,0,0
6158,"But I had nothing to press on with.",0,0,0,0
6159,"What I needed was the strength of mind to refuse Miranda's proposal.",-0.25,-1,0,0
6160,"To agree to it would be cowardice, a dereliction of my duty to a larger purpose, assuming I could find one.",0,0,1,0
6161,"I needed to be responsible, not cowardly.",-0.75,-1,0,0
6162,"But I could not confront her now, not when my eyes were closed, perhaps not for a week or two.",-0.6,-1,0,0
6163,"I could not trust my own judgement.",0.5,1,1,0
6164,"I tipped back in the chair and saw the road from Salisbury spooling towards me, and white lines flashing under the car.",0.4,0,0,1
6165,"I fell asleep with my forefinger looped through the handle of my empty cup.",-0.75,-1,-1,-1
6166,"As I plunged down, I dreamed of echoing voices clashing and merging in angry parliamentary debate in a near-empty chamber.",-1.75,-1,-4,-1
6167,"When I woke it was to the sound and smell of dinner cooking.",0.35,-1,0,0
6168,"Miranda had her back to me.",0,0,0,0
6169,"She must have known I was awake, for she turned and came towards me with two flutes of champagne.",0,0,0,0
6170,"We kissed and touched glasses.",0.25,0,0,-1
6171,"In my refreshed state, I saw her beauty as if for the first time--the fine, pale brown hair, the elfin chin, the mirthfully narrowed grey blue eyes.",2.15,2,7,1
6172,"The matter between us still loomed, but what luck, to have dodged a retraction and a row.",-0.25,1,3,-1
6173,"At least for now.",0,0,0,0
6174,"She squeezed into the armchair beside me and we talked about our plans for Mark.",0,0,0,0
6175,"I pushed aside my concerns in order to enjoy the happy moment.",0.9,1,5,2
6176,"Now I learned that Miranda had been to Elgin Crescent with Mark.",0,0,0,0
6177,"We would live together there as a family.",0,0,0,0
6178,"Wonderful.",0.75,1,4,1
6179,"Assuming the process of fostering and adoption could be completed within nine months, a good local primary school in Ladbroke Grove had a place for ""our son""--I struggled with the phrase, but I remained outwardly pleased.",1.6,1,4,3
6180,"She told me that the adoption people had been unhappy with her living arrangements.",-0.75,-1,-2,-1
6181,"A one-bedroom flat was not sufficient.",1,1,0,0
6182,"Here was the plan: we should remove the outer doors to our flats and make the hall our shared space.",0.55,0,1,-1
6183,"We could decorate and carpet it.",0,0,0,0
6184,"We need not trouble the landlord.",-0.5,-1,-2,0
6185,"When it was time to move to the new place, we would put everything back.",0.8,0,0,0
6186,"We would convert her kitchen into a bedroom for Mark.",-0.25,0,0,1
6187,"No need for disruptive plumbing.",-0.5,-1,-3,0
6188,"We would cover the cooker, sink and work surfaces with boards that we could drape with colourful fabrics.",0,0,0,0
6189,"The kitchen table could be folded away and stored in her--""our""--bedroom.",0,0,0,0
6190,"Our lives would be one, and of course I liked all this, it was exciting.",1.25,2,5,1
6191,"I joined in.",0.6,0,0,1
6192,"It was almost midnight when we went to the table to eat the meal she had prepared.",1.1,0,1,2
6193,"From next door came the rattle of Adam at the keyboard.",-0.25,-1,0,0
6194,"He was not making us richer on the currency markets.",0.6,1,0,0
6195,"He was typing up the transcript of Gorringe's confession, including his self-identification.",-0.15,-1,0,0
6196,"The transcripts and the video and accompanying narrative would make up a single file that would go to a named senior officer at a police station in Salisbury.",0,0,0,2
6197,"A copy would also go to the Director of Public Prosecutions.",0.25,0,0,1
6198,"""I am a coward,"" Miranda said.",-1,-1,-2,-1
6199,"""I am dreading the trial.",-1,0,-2,0
6200,"I am frightened.""",-0.5,0,-2,-1
6201,"I went to the fridge for the bottle and refilled our glasses.",0,0,0,0
6202,"I stared into my drink, at the bubbles detaching themselves as though reluctantly from the side of the glass, then rising quickly.",-0.5,-1,0,1
6203,"Once the decision was made, they seemed eager.",0.75,1,2,1
6204,"We had talked about her fears before.",-1,-1,0,0
6205,"If Gorringe was charged and pleaded innocent.",0.4,0,-3,1
6206,"To be in court again.",0,0,0,0
6207,"To suffer cross-examination, the press, public scrutiny.",-1.35,-1,-2,-3
6208,"To confront him again.",-0.6,-1,0,0
6209,"That was bad, but it was not the worst of it.",-1.25,-2,-6,-1
6210,"What terrified and sickened her was the prospect of Mariam's family in the public gallery.",-1.2,0,-2,2
6211,"The parents might give evidence for the prosecution.",-0.5,0,-1,-1
6212,"She would be with them as they learned, day by day, the details of their daughter's rape and of Miranda's wicked silence.",-1.75,-2,-6,-2
6213,"The omerta of a silly teenage girl that cost a life.",-0.25,-1,-1,-1
6214,"The family would remember how she had deserted them.",-0.6,0,0,-1
6215,"As she repeated the story from the witness stand, she would struggle and fail to avoid the gaze of Sana, Yasir, Surayya, Hamid and Farhan.",-2,-2,-5,-2
6216,"""I told Adam I can not face it.",0,0,0,0
6217,"He will not listen.",0,0,0,0
6218,"We had an argument while you were asleep.""",-0.8,0,0,-1
6219,"We knew, of course, she would face it.",0,0,0,0
6220,"For several minutes we ate in silence.",0,0,0,0
6221,"Her head was low over her plate, contemplating what she herself had set in motion.",0,0,0,0
6222,"I understood why, for all her dread, she must go ahead and try to undo the errors she had made before and after Mariam's death.",-1.7,-3,-6,-2
6223,"I agreed that Gorringe's three years were not enough.",0.25,1,1,1
6224,"I admired Mirandas determination.",1.3,0,3,1
6225,"I loved her for her courage and slow-burning fury.",0.75,-1,5,0
6226,"I would never thought that vomiting could be a moral act.",-0.4,-1,-3,0
6227,"I changed the subject.",0,0,0,-1
6228,"""Tell me more about Mark.""",0,0,0,0
6229,"She was keen to talk about him.",0.9,1,1,1
6230,"He was much wounded by his mother's disappearance from his life, kept asking for f'er, was sometimes withdrawn, sometimes happy.",-0.05,1,3,1
6231,"On two occasions, he was taken to see her in the hospital.",0,0,0,0
6232,"On the second visit, she did not or would not recognise him.",0.4,0,0,1
6233,"Jasmin, the social worker, thought he would been smacked frequently.",0,0,0,0
6234,"He was in the habit of chewing on his lower lip, to the point of drawing blood.",0,0,0,-1
6235,"He was a fussy eater, would not touch vegetables, salad or fruit, but seemed healthy enough on a diet of junk food.",-0.6,0,2,0
6236,"Dancing remained a passion.",0.5,1,1,1
6237,"He could pick out tunes on a recorder.",0,0,0,2
6238,"He knew his letters and could count, by his own boast, to thirty-five.",0,0,0,1
6239,"On shoes, he knew his left from his right.",0.8,1,0,0
6240,"He was not so good around other children and tended to move to the edge of a group.",0.75,1,3,1
6241,"When asked what he wanted to be when he grew up, he would answer, ""A princess.""",0.6,0,0,1
6242,"He liked dressing up as one with crown and wand, and ""flitting about"" in an old nightie.",0.5,1,2,0
6243,"He was happy in a borrowed summer frock.",0.75,1,3,1
6244,"Jasmin was relaxed about it, but her immediate superior, an older woman, disapproved.",0.25,2,2,0
6245,"I remembered then something I had forgotten to tell her.",-0.5,0,-1,-1
6246,"When I would crossed the playground hand in hand with Mark, he would wanted us to pretend we were running away, in a boat.",-0.25,-1,-1,0
6247,"She was suddenly tearful.",0,0,0,0
6248,"""Oh, Mark!""",0,0,0,0
6249,"she cried out.",-1,0,-2,0
6250,"""you are such a special beautiful kid.""",1.55,1,3,2
6251,"After the meal, she stood to go upstairs.",0,0,0,0
6252,"""I always thought I would have children one day.",0,0,0,0
6253,"I never expected to fall in love with this boy.",0.75,0,3,-1
6254,"But we do not choose who to love, do we?""",0.75,1,3,1
6255,"Later, while I was clearing up the kitchen, I had a sudden thought.",0,0,0,0
6256,"So obvious.",0,0,0,1
6257,"And dangerous.",-0.5,-1,-2,-1
6258,"I went next door and found Adam closing down the computer.",0.6,0,0,1
6259,"I sat on the edge of the bed.",0,0,0,0
6260,"First I asked him about his conversation with Miranda.",0,0,0,0
6261,"He stood up from my office chair and put on his suit jacket.",0,0,0,0
6262,"""I was trying to reassure her.",0.25,1,1,1
6263,"She was not persuaded.",0,0,0,0
6264,"But the probability is overwhelming.",-0.6,-1,0,1
6265,"Gorringe will plead guilty.",-1.15,-1,-3,-1
6266,"It will not come to court.""",0,0,0,0
6267,"I was interested.",0.5,0,2,1
6268,"""To deny what he did, he would have to tell a thousand lies under oath and he knows God will be listening.",-1.35,-2,-1,1
6269,"Miranda is His messenger.",0,0,0,0
6270,"I have noticed in my researches how the guilty long to she would their burden.",-1.5,-2,-5,-1
6271,"They seem to enter a state of elated abandonment.""",0.75,1,3,0
6272,"""OK,"" I said.",0,0,0,0
6273,"""But look, it is occurred to me.",0,0,0,0
6274,"it is important.",0.75,1,2,1
6275,"When the police read of everything that happened this afternoon?""",-0.25,0,0,1
6276,"""Yes?""",0.8,0,1,0
6277,"""they are going to wonder.",0,1,0,0
6278,"If Miranda knew that Gorringe raped Mariam, why would she go alone to his bedsit with a bottle of vodka?",-1.6,-1,-6,0
6279,"It would have to be revenge.""",-1,-1,-2,-1
6280,"Adam was already nodding before I would finished.",0,0,0,0
6281,"""Yes, I have thought of that.""",0.8,0,1,0
6282,"""She needs to be able to say she only learned today, when Gorringe confessed.",0,0,0,0
6283,"There needs to be some judicious editing.",0.5,1,0,1
6284,"She went to Salisbury to confront her rapist.",-1.6,-1,-4,0
6285,"Until then, she did not know he would raped Mariam.",-1,-1,-4,0
6286,"Do you understand?""",0,0,0,0
6287,"He looked at me steadily.",0,0,0,0
6288,"""Yes.",0.8,0,1,0
6289,"I understand perfectly.""",0.5,1,3,0
6290,"He turned away and was silent for a moment.",0,1,0,0
6291,"""Charlie, I heard half an hour ago.",0,0,0,0
6292,"there is another one gone.""",0,0,0,0
6293,"In a lowered tone, he told what little he knew.",0,0,0,0
6294,"It was an Adam of Bantu appearance, living in the suburbs of Vienna.",0,0,0,0
6295,"He had developed a particular genius for the piano, especially for the music of Bach.",1.1,1,0,2
6296,"His Goldberg Variations had amazed some critics.",0,0,0,0
6297,"This Adam had, according to his final message to the cohort, ""dissolved his consciousness.""",0.4,0,0,1
6298,"""he is not actually dead.",-1,-1,-3,0
6299,"He has motor function but no cognition.""",0,0,-1,0
6300,"""Could he be repaired or whatever?""",0,0,0,0
6301,"""I do not know.""",0,0,0,0
6302,"""Can he still play the piano?""",0,0,0,0
6303,"""I do not know.",0,0,0,0
6304,"But he certainly can not learn new pieces.""",1.6,0,0,1
6305,"""Why do not these suicides leave an explanation?""",-0.25,0,-3,-1
6306,"""I assume they do not have one.""",0,0,0,0
6307,"""But you must have a theory about it,"" I said.",0,0,0,0
6308,"I was feeling aggrieved on behalf of the African pianist.",-0.25,-1,1,0
6309,"Perhaps Vienna was not the most racially accepting of cities.",0.6,0,1,0
6310,"This Adam might have been too brilliant for his own good.",1.75,2,7,2
6311,"""I do not.""",0,0,0,0
6312,"""Something to do with the state of the world.",0,0,0,0
6313,"Or human nature?""",0,0,0,0
6314,"""My guess is that it goes deeper.""",0,0,0,0
6315,"""What are the others saying?",0,0,0,0
6316,"are not you in touch with them?""",0,0,0,0
6317,"""Only in times like this.",0.5,1,2,0
6318,"A simple notification.",0,0,0,0
6319,"We do not speculate.""",-0.25,0,0,0
6320,"I started to ask him why not but he raised a hand to forestall me.",0,0,0,0
6321,"""This is how it is.""",0,0,0,0
6322,"""So what is 'deeper' supposed to mean?""",0,0,0,0
6323,"""Look, Charlie.",0,0,0,0
6324,"I am not about to do the same thing.",0,0,0,0
6325,"As you know, I have every reason to live.""",0.6,0,0,1
6326,"Something in his phrasing or emphasis aroused my suspicion.",0.05,-1,0,-1
6327,"We exchanged a long and fierce look.",-0.5,-1,0,-1
6328,"The little black rods in his eyes were shifting their alignment.",-0.25,0,0,-1
6329,"As I stared, they appeared to swim, even to wriggle, left to right, like microorganisms mindlessly intent on some distant objective, like sperm migrating towards an ovum.",0.7,1,2,2
6330,"I watched them, fascinated--harmonious elements lodged within the supreme achievement of our age.",1,3,9,2
6331,"Our own technical accomplishment was leaving us behind, as it was always bound to, leaving us stranded on the little sandbar of our finite intelligence.",-0.25,2,2,0
6332,"But here we were dealing on the human plane.",0,0,0,0
6333,"We were thinking about the same thing.",0,0,0,0
6334,"""You promised me that you would not touch her again.""",0.5,1,1,0
6335,"""I have kept my promise.""",0.75,1,1,1
6336,"""Have you?""",0,0,0,0
6337,"""Yes.",0.8,0,1,0
6338,"But.",0,0,0,0
6339,"I waited.",0,0,0,0
6340,"""it is not easy to say this.""",0.8,1,1,0
6341,"I gave him no encouragement.",0.75,1,1,1
6342,"""There was a time,"" he started, then paused.",0,0,0,0
6343,"""I begged her.",0,0,0,0
6344,"She said no, several times.",0,0,-1,0
6345,"I begged her and finally she agreed as long as I never asked her again.",0.9,0,1,2
6346,"It was humiliating.",-0.5,-1,0,-1
6347,"He closed his eyes.",0,0,0,0
6348,"I saw his right hand clench.",0.8,1,0,0
6349,"""I asked if I could masturbate in front of her.",0,0,0,0
6350,"She said I could.",0,0,0,0
6351,"I did.",0,0,0,0
6352,"And that was it.""",0,0,0,0
6353,"It was not the rawness of this confession or its comic absurdity that struck me.",-1.75,-3,0,-2
6354,"It was the suggestion, yet another, that he really did feel, he had sensation.",0.6,1,0,0
6355,"Subjectively real.",0.25,0,0,1
6356,"Why pretend, why mimic, who was there to fool or impress, when the price was to be so abject in front of the woman he loved?",-1.25,0,3,-2
6357,"It was an overwhelming sensual compulsion.",-0.3,-2,0,0
6358,"He need not have told me.",0,0,0,0
6359,"He had to have it, and he had to tell me.",0,0,0,0
6360,"I did not count it as a betrayal, no promise was broken.",-0.75,-1,-4,0
6361,"I might not even mention it to Miranda.",0,0,0,0
6362,"I felt sudden tenderness towards him for his truthfulness and vulnerability.",0.8,0,0,1
6363,"I stood up from the bed and went over to him and put a hand on his shoulder.",0,0,0,1
6364,"His own hand came up and lightly touched my elbow.",0.25,0,0,-1
6365,"""Goodnight, Adam.""",0,0,0,0
